rank,lon,lat,electrification_prob,local_suitability_score,region_mean_electrification_prob,served_population,est_households,daily_demand_kwh,solar_pv_kw,battery_kwh,topology,capex_usd
57,41.2325000000037,3.082499999999834,0.2407033443450927,0.4845349501939134,0.0944494754076004,810.2808952331543,180,27.0,6.545454545454546,50.625,AC three-phase mini-grid,900000
58,40.01250000000307,3.082499999999834,0.2518611550331116,0.5370514528247696,0.0945871844887733,119.83006596565247,27,4.05,0.9818181818181818,7.593749999999999,DC cluster,135000
59,39.00750000000256,0.1324999999998968,0.3404951691627502,0.5603504389978513,0.0951447784900665,757.891749382019,168,25.2,6.109090909090909,47.24999999999999,AC three-phase mini-grid,840000
60,36.88250000000147,3.1074999999998334,0.1549061685800552,0.627590797527199,0.0972157195210456,75.81422924995422,17,2.55,0.6181818181818182,4.781249999999999,DC cluster,85000
61,37.912500000002,1.9874999999998573,0.2834362089633941,0.7018305678351977,0.0974766463041305,249.77833557128906,56,8.4,2.0363636363636366,15.750000000000002,AC three-phase mini-grid,280000
62,39.65750000000289,-0.5025000000000897,0.3330084085464477,0.5371013013684202,0.0974944680929184,2350.12686920166,522,78.3,18.98181818181818,146.81249999999997,AC three-phase mini-grid,2610000
63,39.04750000000258,3.5324999999998243,0.3224806785583496,0.4806687530361357,0.098229743540287,8809.800903320312,1958,293.7,71.2,550.6874999999999,AC three-phase mini-grid,9790000
64,37.58250000000183,1.107499999999876,0.2701530754566192,0.5755127087801389,0.0994825735688209,148.2752525806427,33,4.95,1.2,9.28125,DC cluster,165000
65,39.73250000000293,0.6324999999998862,0.2355314791202545,0.5381574495663176,0.0996718928217887,1029.5274257659912,229,34.35,8.327272727272728,64.40625,AC three-phase mini-grid,1145000
66,40.937500000003546,0.7274999999998841,0.1342313736677169,0.4811114749946387,0.1002890542149543,193.23766040802002,43,6.45,1.5636363636363637,12.09375,DC cluster,215000
67,36.80750000000143,-2.272500000000052,0.3028456270694732,0.6724898084226092,0.1015129834413528,1231.538649559021,274,41.1,9.963636363636365,77.0625,AC three-phase mini-grid,1370000
68,37.48250000000178,-2.0175000000000574,0.3141536116600036,0.5130745388049323,0.1016108766198158,2824.2268981933594,628,94.2,22.836363636363636,176.625,AC three-phase mini-grid,3140000
69,40.98250000000357,1.907499999999859,0.1610937863588333,0.641469426466226,0.1020610332489013,212.85728216171265,47,7.05,1.709090909090909,13.218749999999998,DC cluster,235000
70,40.55750000000335,-2.5175000000000467,0.3334724009037018,0.6496153276473581,0.1024820134043693,438.8112897872925,98,14.7,3.5636363636363635,27.562499999999996,AC three-phase mini-grid,490000
